collected_frames,rew/shaping,rew/step_penalty,rew/joint_angle_var_penalty,rew/flipper_contact,rew/roll_penalty,rew/roll_rate_penalty,rew/pitch_penalty,rew/pitch_rate_penalty,rew/shock_penalty,rew/clearance,rew/action_bonus,rew/terminal_bonus,rew/success_reward_value,rew/fail_reward_value,rew/success_rate_step,rew/fail_rate_step,rew/total_reward
3997696,0.1828370278235525,-0.08000000000000006,-0.047004552179714665,0.0,-0.0023656515641050646,0.0,-0.06937255145749077,0.0,0.0,0.0,1.1320273228920996,0.0116729736328125,60.0,-15.0,0.000244140625,0.0001983642578125,1.1275683203712106
4063232,0.27485610940493643,-0.08000000000000006,-0.04506672959541902,0.0,-0.0014111827904343954,0.0,-0.05413203634088859,0.0,0.0,0.0,1.1402167500928044,0.0157928466796875,60.0,-15.0,0.000274658203125,4.57763671875e-05,1.2501980774104595
4128768,0.22216628841124475,-0.08000000000000006,-0.052156300022033975,0.0,-0.002067727767098404,0.0,-0.0606822652334813,0.0,0.0,0.0,1.1485457085072994,0.0171661376953125,60.0,-15.0,0.0002899169921875,1.52587890625e-05,1.1929529951885343
4194304,0.20555380755104125,-0.08000000000000006,-0.04987656295998022,0.0,-0.0026812478390638717,0.0,-0.0643789890455082,0.0,0.0,0.0,1.1570158102549613,0.014190673828125,60.0,-15.0,0.000244140625,3.0517578125e-05,1.1797893028706312
4259840,0.20597908506169915,-0.08000000000000006,-0.04812339667114429,0.0,-0.00295608189117047,0.0,-0.06381531193619594,0.0,0.0,0.0,1.161857859697193,0.015106201171875,60.0,-15.0,0.0002899169921875,0.000152587890625,1.1878676414489746
4325376,0.196445316192694,-0.08000000000000006,-0.045643122139154,0.0,-0.002622091520606773,0.0,-0.06269855319987983,0.0,0.0,0.0,1.162452175281942,0.0164794921875,60.0,-15.0,0.0003204345703125,0.00018310546875,1.184201349504292
4390912,0.25312266405671835,-0.08000000000000006,-0.040053217715467326,0.0,-0.0013436416479635227,0.0,-0.05931071791565046,0.0,0.0,0.0,1.1069974917918444,0.021514892578125,60.0,-15.0,0.0003814697265625,9.1552734375e-05,1.2008189875632524
4456448,0.20927670935634524,-0.08000000000000006,-0.04666464147157967,0.0,-0.0016356877622456523,0.0,-0.06039830174995586,0.0,0.0,0.0,1.123755056411028,0.0157928466796875,60.0,-15.0,0.000274658203125,4.57763671875e-05,1.1600742479786277
4521984,0.20158113248180598,-0.08000000000000006,-0.04444020689697936,0.0,-0.0020348097968962975,0.0,-0.06500514448271133,0.0,0.0,0.0,1.1390190650708973,0.0157928466796875,60.0,-15.0,0.0002899169921875,0.0001068115234375,1.1647918089292943
4587520,0.2129968994995579,-0.08000000000000006,-0.044055332109564915,0.0,-0.0022797653300585807,0.0,-0.06682323355926201,0.0,0.0,0.0,1.1426829919219017,0.01556396484375,60.0,-15.0,0.0002899169921875,0.0001220703125,1.1779417786747217
4653056,0.20505937037523836,-0.08000000000000006,-0.043279145582346246,0.0,-0.0023997887947189156,0.0,-0.06930782430572435,0.0,0.0,0.0,1.1610289299860597,0.0176239013671875,60.0,-15.0,0.0003204345703125,0.0001068115234375,1.1886021383106709
4718592,0.2424928635591641,-0.08000000000000006,-0.06400532703264616,0.0,-0.0022412417056330014,0.0,-0.05832309409743175,0.0,0.0,0.0,1.0999839226715267,0.012359619140625,60.0,-15.0,0.0002593994140625,0.000213623046875,1.150024444796145
4784128,0.20705773064401,-0.08000000000000006,-0.06738636567024514,0.0,-0.002400815834334935,0.0,-0.06270388150005601,0.0,0.0,0.0,1.1577250990085304,0.0052642822265625,60.0,-15.0,0.0001220703125,0.0001373291015625,1.1573979337699711
