collected_frames,rew/flipper_penalty,rew/pitch_penalty,rew/terminal_bonus,rew/total_reward
30408704,-0.0007385886651718465,-0.00020834927283885918,-0.0022430419921875,-0.0031897025123726053
30539776,-0.0007841909164199024,-0.00012840699726268667,-0.0043487548828125,-0.005261264156160905
30670848,-0.0008666874309710693,-9.212381345946596e-05,-0.0040740966796875,-0.0050318062762926274
30801920,-0.0007363565678133455,-4.5958395119782836e-05,-0.002471923828125,-0.003253912527270586
30932992,-0.0007280141671799356,-3.631924214175797e-05,-0.00433349609375,-0.0050976382808585186
31064064,-0.0006188281217873737,-3.5713429966222066e-05,-0.0040435791015625,-0.004698085273503239
31195136,-0.0006856285740468593,-3.802776170402922e-05,-0.003265380859375,-0.003988975963238772
31326208,-0.0007899036045273533,-5.7582191828942086e-05,-0.004119873046875,-0.004967274537648336
31457280,-0.0006776867321605096,-3.273497273426074e-05,-0.002716064453125,-0.0034264271471329266
31588352,-0.0006889642077112512,-5.9433383981399857e-05,-0.0046234130859375,-0.0053717292407782224
31719424,-0.0007397093793315435,-0.00017549709343711584,-0.0015411376953125,-0.0024560253805248067
31850496,-0.0007435849465764477,-0.00022982466350640607,-0.0030059814453125,-0.0039789105403542635
31981568,-0.0007729185681455419,-5.925112006366362e-05,-0.0062255859375,-0.007057445523059869
32112640,-0.0007315656439459417,-2.653458948742582e-05,-0.00335693359375,-0.00411483956986558
32243712,-0.0007710362074249133,-1.68795106318953e-05,-0.00482177734375,-0.005609620908671786
32374784,-0.0007931132427074772,-3.1259075285561266e-05,-0.0035247802734375,-0.00434906498003329
32505856,-0.0008505316495757143,-8.369116332573867e-05,-0.0021820068359375,-0.0031161348056230054
32636928,-0.0008871241416272824,-0.0001549597901089328,-0.006072998046875,-0.007114569641089474
32768000,-0.0008775158194112009,-2.003547249529447e-05,-0.0002899169921875,-0.0011873143762386462
32899072,-0.000826700241304934,-3.8360895402433925e-05,-0.0031890869140625,-0.004053653055962059
33030144,-0.0007934978916637192,-4.394333569734954e-05,-0.0055999755859375,-0.006437109141188557
33161216,-0.0007095290502547869,-2.7027672516055645e-05,-0.0028533935546875,-0.0035898504816032073
33292288,-0.000665956361899589,-2.9902438498652373e-05,-0.0038909912109375,-0.004586719431699748
33423360,-0.0006359172439260874,-3.471642291685839e-05,-0.003570556640625,-0.004241072550030367
33554432,-0.0008106231439342082,-8.158183177897627e-05,-0.0020599365234375,-0.0029518586734411656
33685504,-0.0008179046562872827,-3.7929725465346564e-05,-0.0042266845703125,-0.005082334164853819
33816576,-0.0007130619376312097,-8.007788949271344e-06,-0.000732421875,-0.00145340907033642
33947648,-0.0008743339490138169,-0.00011583636150191978,-0.001922607421875,-0.0029125052196832257
34078720,-0.0007474713811461697,-0.0001098269719648215,-0.0053253173828125,-0.006182421579978836
34209792,-0.0008196743242478988,-6.324072339225495e-05,-0.0038909912109375,-0.004773592783294589
34340864,-0.0008214494819185347,-3.9915362229692164e-05,-0.0038909912109375,-0.004752211493723735
34471936,-0.0006431640904338565,-2.2783305688278688e-05,-0.003875732421875,-0.004541561331734556
34603008,-0.000684636393089022,-2.3370284857548995e-05,-0.002288818359375,-0.0029966992588015273
34734080,-0.0007769454200570181,-3.0133722319192202e-05,-0.0047454833984375,-0.005552298292059277
34865152,-0.000922213224839652,-0.0001539859681543021,-0.00396728515625,-0.00504244036073942
34996224,-0.0008160348752426216,-0.0001451708586159839,-0.0026397705078125,-0.0036004993626193027
35127296,-0.0006551681649398233,-7.028942610531885e-05,-0.0053863525390625,-0.006111633043474285
35258368,-0.0007898662106526899,-5.5745439780707784e-05,-0.0040283203125,-0.004873633112310927
35389440,-0.0008026538312151388,-8.311543444960989e-05,-0.003936767578125,-0.004822434308607626
35520512,-0.0007713435766163457,-6.30713496292401e-05,-0.00335693359375,-0.004191253638964554
35651584,-0.0007760944731671771,-2.9392778081671622e-05,-0.002960205078125,-0.0037655580144928535
35782656,-0.0008322027288159006,-4.765583091170811e-05,-0.0050811767578125,-0.005960795423106902
35913728,-0.00036561360695941403,-1.7694966807368928e-05,-0.0006103515625,-0.0009935968414538365
36044800,-0.0006175273103963264,-2.4292662509139973e-05,-0.0023956298828125,-0.0030372210981113312
36175872,-0.0007625452453794423,-3.6991718779688654e-05,-0.0054779052734375,-0.006277257449710305
36306944,-0.0006229402611097612,-4.22213744570854e-05,-0.003631591796875,-0.004296649060961499
36438016,-0.0006421474713533826,-5.493628000863282e-05,-0.004608154296875,-0.005305129350745119
36569088,-0.0007608459231960296,-0.0001713231525855008,-0.0032806396484375,-0.0042127589040319435
36700160,-0.0007500621518374828,-0.00011380612571088022,-0.001800537109375,-0.0026642632101356867
36831232,-0.0006360925453918753,-3.005157331870123e-05,-0.00445556640625,-0.005121666099967115
36962304,-0.0005280619668610598,-1.9149547242136578e-05,-0.0013275146484375,-0.0018746012028714176
37093376,-0.0006521135783259524,-2.4783394010796655e-05,-0.002227783203125,-0.002904496838709747
