attempt,collected_frames,gpu/mem_allocated_gb,gpu/mem_reserved_gb,gpu/mem_max_allocated_gb
4,23330816,3.822885376,3.997171712,6.782503424
4,23396352,3.82569984,3.978297344,6.782503424
4,23461888,3.824068608,3.959422976,6.782503424
4,23527424,3.824859648,3.978297344,6.782503424
4,23592960,3.824809472,3.957325824,6.782503424
4,23658496,3.824070656,3.957325824,6.782503424
4,23724032,3.82460928,3.997171712,6.782503424
4,23789568,3.82379008,3.978297344,6.782503424
4,23855104,3.82470912,3.957325824,6.782503424
4,23920640,3.824173056,3.980394496,6.782503424
4,23986176,3.821883392,3.980394496,6.782503424
4,24051712,3.824203264,3.978297344,6.782503424
4,24117248,3.822825472,3.957325824,6.782503424
4,24182784,3.821398528,3.976200192,6.782503424
4,24248320,3.822403584,3.978297344,6.782503424
4,24313856,3.822903808,3.978297344,6.782503424
4,24379392,3.821228544,3.957325824,6.782503424
4,24444928,3.82540288,3.978297344,6.782503424
4,24510464,3.824133632,3.978297344,6.782503424
4,24576000,3.823103488,3.957325824,6.782503424
4,24641536,3.822514176,3.999268864,6.782503424
4,24707072,3.8249856,3.978297344,6.782503424
4,24772608,3.823879168,3.978297344,6.782503424
4,24838144,3.822865408,3.957325824,6.782503424
4,24903680,3.824121856,3.978297344,6.782503424
4,24969216,3.822008832,3.978297344,6.782503424
4,25034752,3.822518784,3.957325824,6.782503424
4,25100288,3.825114112,3.980394496,6.782503424
4,25165824,3.823239168,3.959422976,6.782503424
4,25231360,3.822354944,3.959422976,6.782503424
4,25296896,3.82431488,3.999268864,6.782503424
4,25362432,3.822773248,3.997171712,6.782503424
4,25427968,3.822967296,3.955228672,6.782503424
4,25493504,3.825748992,3.978297344,6.782952448
4,25559040,3.822937088,3.999268864,6.782952448
4,25624576,3.823288832,3.955228672,6.782952448
4,25690112,3.82379776,3.976200192,6.782952448
4,25755648,3.823535104,3.978297344,6.782952448
4,25821184,3.824131072,3.959422976,6.782952448
4,25886720,3.82120448,3.957325824,6.782952448
4,25952256,3.820984832,3.959422976,6.782952448
4,26017792,3.824887808,3.980394496,6.782952448
4,26083328,3.823103488,3.959422976,6.782952448
4,26148864,3.824297472,3.959422976,6.782952448
4,26214400,3.82222592,3.959422976,6.782952448
4,26279936,3.822374912,3.980394496,6.782952448
4,26345472,3.823931904,4.001366016,6.782952448
4,26411008,3.821512704,3.980394496,6.782952448
4,26476544,3.826192384,3.980394496,6.782952448
4,26542080,3.824903168,4.001366016,6.782952448
4,26607616,3.824172544,3.959422976,6.782952448
4,26673152,3.824551424,3.959422976,6.782952448
4,26738688,3.823671808,3.978297344,6.782952448
4,26804224,3.8235904,3.978297344,6.782952448
4,26869760,3.821210624,3.999268864,6.782952448
4,26935296,3.824103936,3.957325824,6.782952448
4,27000832,3.824158208,3.957325824,6.782952448
4,27066368,3.823515648,3.980394496,6.782952448
4,27131904,3.823727104,3.999268864,6.782952448
4,27197440,3.825317376,3.955228672,6.782952448
4,27262976,3.822309888,3.959422976,6.782952448
4,27328512,3.824868864,3.978297344,6.782952448
4,27394048,3.824616448,3.976200192,6.782952448
4,27459584,3.825271808,3.978297344,6.782952448
4,27525120,3.821194752,3.980394496,6.782952448
4,27590656,3.825043456,3.976200192,6.782952448
4,27656192,3.821410816,3.957325824,6.782952448
4,27721728,3.821320192,3.999268864,6.782952448
4,27787264,3.825768448,3.999268864,6.782952448
4,27852800,3.82194944,3.957325824,6.782952448
4,27918336,3.823537152,3.997171712,6.782952448
4,27983872,3.824169984,3.976200192,6.782952448
4,28049408,3.824065024,4.020240384,6.782952448
4,28114944,3.823675392,3.999268864,6.782952448
4,28180480,3.822188032,3.976200192,6.782952448
4,28246016,3.821228032,3.957325824,6.782952448
4,28311552,3.822106112,3.980394496,6.782952448
4,28377088,3.823529984,3.978297344,6.782952448
4,28442624,3.8212224,3.978297344,6.782952448
4,28508160,3.824411648,3.957325824,6.782952448
4,28573696,3.82232832,3.980394496,6.782952448
4,28639232,3.821805568,3.957325824,6.782952448
4,28704768,3.821008896,3.980394496,6.782952448
4,28770304,3.820845568,3.978297344,6.782952448
4,28835840,3.821921792,3.959422976,6.782952448
4,28901376,3.824713728,4.020240384,6.782952448
4,28966912,3.823734272,3.959422976,6.782952448
4,29032448,3.824387584,3.980394496,6.782952448
4,29097984,3.823249408,3.957325824,6.782952448
4,29163520,3.824905216,4.018143232,6.782952448
4,29229056,3.822166016,3.957325824,6.782952448
4,29294592,3.822013952,3.957325824,6.782952448
4,29360128,3.823346176,3.980394496,6.782952448
4,29425664,3.82548736,3.959422976,6.782952448
4,29491200,3.825635328,3.978297344,6.782952448
4,29556736,3.8232448,3.957325824,6.782952448
5,29425664,3.559161344,3.688890368,5.377974272
5,29491200,3.56059392,3.71195904,6.78103296
5,29556736,3.55973376,3.714056192,6.78103296
5,29622272,3.559625728,3.693084672,6.78103296
5,29687808,3.557186048,3.69098752,6.78103296
5,29753344,3.560484352,3.714056192,6.78103296
5,29818880,3.56028928,3.71195904,6.78103296
5,29884416,3.558057984,3.693084672,6.78103296
5,29949952,3.55935232,3.714056192,6.78103296
5,30015488,3.557603328,3.69098752,6.78103296
5,30081024,3.559868928,3.714056192,6.78103296
6,29949952,3.824828416,3.95313152,5.378576896
6,30015488,3.82222848,3.997171712,6.77981696
6,30081024,3.820841984,3.978297344,6.77981696
6,30146560,3.820986368,3.957325824,6.77981696
6,30212096,3.824733184,3.978297344,6.780996608
6,30277632,3.821782016,3.978297344,6.780996608
6,30343168,3.821209088,3.997171712,6.780996608
6,30408704,3.824546816,3.980394496,6.780996608
6,30474240,3.823913984,3.959422976,6.781144064
6,30539776,3.824000512,3.978297344,6.781144064
6,30605312,3.822940672,3.955228672,6.781144064
6,30670848,3.820846592,3.999268864,6.781144064
6,30736384,3.823751168,3.978297344,6.781144064
6,30801920,3.820874752,3.978297344,6.781144064
6,30867456,3.822208512,3.955228672,6.781144064
6,30932992,3.824282112,3.999268864,6.781485568
6,30998528,3.822879744,3.999268864,6.781485568
6,31064064,3.82467584,3.999268864,6.781485568
6,31129600,3.822338048,3.957325824,6.781485568
6,31195136,3.82384384,3.978297344,6.781485568
6,31260672,3.825667584,3.997171712,6.78287104
6,31326208,3.824425984,3.957325824,6.78287104
6,31391744,3.821331456,3.957325824,6.78287104
6,31457280,3.822721536,3.957325824,6.78287104
6,31522816,3.824278016,4.001366016,6.78287104
6,31588352,3.823351296,4.001366016,6.78287104
6,31653888,3.821255168,3.957325824,6.78287104
6,31719424,3.821338112,3.957325824,6.78287104
6,31784960,3.823519744,3.978297344,6.78287104
6,31850496,3.824973312,3.959422976,6.78287104
7,31522816,3.82111744,3.95313152,5.375640064
7,31588352,3.820950528,3.976200192,6.777213952
7,31653888,3.823695872,3.976200192,6.779959296
7,31719424,3.821031936,3.978297344,6.779959296
7,31784960,3.823627776,3.976200192,6.779959296
7,31850496,3.824438784,3.997171712,6.780702208
7,31916032,3.824662528,3.997171712,6.781865984
7,31981568,3.821895168,3.976200192,6.781865984
7,32047104,3.821793792,3.978297344,6.781865984
